INFO  - 2014-11-29 19:38:10.335; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8560 (1486166363036712960)]} 0 0
INFO  - 2014-11-29 19:38:10.338; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8561 (1486166363039858688)]} 0 0
INFO  - 2014-11-29 19:38:10.342; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8562 (1486166363043004416)]} 0 1
INFO  - 2014-11-29 19:38:10.345; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8563 (1486166363046150144)]} 0 1
INFO  - 2014-11-29 19:38:10.348; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8564 (1486166363050344448)]} 0 0
INFO  - 2014-11-29 19:38:10.352; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8565 (1486166363054538752)]} 0 0
INFO  - 2014-11-29 19:38:10.354; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8566 (1486166363056635904)]} 0 0
INFO  - 2014-11-29 19:38:10.356; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8567 (1486166363058733056)]} 0 0
INFO  - 2014-11-29 19:38:10.361; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8568 (1486166363063975936)]} 0 0
INFO  - 2014-11-29 19:38:10.365; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8569 (1486166363068170240)]} 0 0
INFO  - 2014-11-29 19:38:10.369; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[857 (1486166363072364544)]} 0 0
INFO  - 2014-11-29 19:38:10.371; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8570 (1486166363074461696)]} 0 0
INFO  - 2014-11-29 19:38:10.374; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8571 (1486166363077607424)]} 0 0
INFO  - 2014-11-29 19:38:10.378; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8572 (1486166363080753152)]} 0 1
INFO  - 2014-11-29 19:38:10.384; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8573 (1486166363088093184)]} 0 0
INFO  - 2014-11-29 19:38:10.387; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8574 (1486166363091238912)]} 0 0
INFO  - 2014-11-29 19:38:10.392; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8575 (1486166363096481792)]} 0 0
